experiment,config,param_value,rep,metric,value
cluster,row_pause_and_snap,default,1,snapshot_count,29
cluster,row_pause_and_snap,default,1,snapshot_committed,29
cluster,row_pause_and_snap,default,1,snapshot_skipped,0
cluster,row_pause_and_snap,default,1,snapshot_success_rate,1.0
cluster,row_pause_and_snap,default,1,avg_retry_rate,0.0
cluster,row_pause_and_snap,default,1,avg_latency_ms,8.84702292688448
cluster,row_pause_and_snap,default,1,p50_latency_ms,9.026957675814629
cluster,row_pause_and_snap,default,1,p99_latency_ms,13.151041697710752
cluster,row_pause_and_snap,default,1,max_latency_ms,13.151041697710752
cluster,row_pause_and_snap,default,1,avg_throughput_writes_sec,0.0
cluster,row_pause_and_snap,default,1,avg_coordinator_cpu_pct,-1.0
cluster,row_pause_and_snap,default,1,avg_delta_blocks_at_discard,0.0
cluster,row_pause_and_snap,default,1,max_delta_blocks_at_discard,0.0
cluster,row_pause_and_snap,default,1,causal_consistency_rate,1.0
cluster,row_pause_and_snap,default,1,causal_checked_count,29.0
cluster,row_pause_and_snap,default,1,avg_causal_violation_count,0.0
cluster,row_pause_and_snap,default,1,conservation_validity_rate,1.0
cluster,row_pause_and_snap,default,1,conservation_checked_count,29.0
cluster,row_pause_and_snap,default,1,recovery_rate,1.0
cluster,row_pause_and_snap,default,1,recovery_checked_count,29.0
cluster,row_pause_and_snap,default,1,recovery_conservation_rate,1.0
cluster,row_pause_and_snap,default,1,avg_convergence_ms,1.4172543386190102
cluster,row_pause_and_snap,default,1,avg_balance_sum,100000.0
cluster,row_pause_and_snap,default,1,avg_in_transit,0.0
cluster,row_pause_and_snap,default,1,avg_messages_per_snapshot,33.0
cluster,row_pause_and_snap,default,1,total_control_messages,957
